countries,value,diff95,h_year
ITA,-0.178596846,-0.013568111,1996
CYP,-0.633598209,-0.040706932,1996
LVA,2.22E-16,0,1996
LTU,2.22E-16,0,1996
LUX,-1,0,1996
HUN,2.22E-16,0,1996
MLT,2.22E-16,0,1996
NLD,-1,0,1996
AUT,-1,0,1996
POL,2.22E-16,0,1996
PRT,2.22E-16,0,1996
ROU,2.22E-16,0,1996
SVN,-0.650662441,-0.010951878,1996
SVK,2.22E-16,0,1996
FIN,-1,0,1996
SWE,2.22E-16,0,1996
BEL,-1,0,1997
BGR,2.22E-16,0,1997
CZE,-0.725600478,0.082988306,1997
DNK,-1,0,1997
DEU,-0.405712017,0.071378276,1997
EST,2.22E-16,0,1997
IRL,-1,0,1997
GRC,-0.504437919,-0.087655712,1997
ESP,-0.116019666,-0.039427243,1997
FRA,-0.561596668,-0.048204845,1997
HRV,2.22E-16,0,1997
ITA,-0.179666204,-0.007661798,1997
CYP,-0.597813718,-0.094886085,1997
LVA,2.22E-16,0,1997
LTU,2.22E-16,0,1997
LUX,-1,0,1997
HUN,2.22E-16,0,1997
MLT,2.22E-16,0,1997
NLD,-1,0,1997
AUT,-1,0,1997
POL,2.22E-16,0,1997
PRT,2.22E-16,0,1997
ROU,2.22E-16,0,1997
SVN,-0.638988142,-0.028697553,1997
SVK,2.22E-16,0,1997
FIN,-1,0,1997
SWE,2.22E-16,0,1997
BEL,-1,0,1998
BGR,2.22E-16,0,1998
CZE,-0.75607566,0.128473758,1998
DNK,-1,0,1998
DEU,-0.423824424,0.11920836,1998
EST,2.22E-16,0,1998
IRL,-1,0,1998
GRC,-0.468934179,-0.151869033,1998
ESP,-0.107491191,-0.110037866,1998
FRA,-0.547793634,-0.071598254,1998
HRV,2.22E-16,0,1998
ITA,-0.17820676,-0.015722644,1998
CYP,-0.558505969,-0.154399591,1998
LVA,2.22E-16,0,1998
LTU,2.22E-16,0,1998
LUX,-1,0,1998
HUN,2.22E-16,0,1998
MLT,2.22E-16,0,1998
NLD,-1,0,1998
AUT,-1,0,1998
POL,2.22E-16,0,1998
PRT,2.22E-16,0,1998
ROU,2.22E-16,0,1998
SVN,-0.622823217,-0.053269263,1998
SVK,2.22E-16,0,1998
FIN,-1,0,1998
SWE,2.22E-16,0,1998
BEL,-1,0,1999
BGR,2.22E-16,0,1999
CZE,-0.793014616,0.183606657,1999
DNK,-1,0,1999
DEU,-0.447584313,0.18195195,1999
EST,2.22E-16,0,1999
IRL,-1,0,1999
GRC,-0.425433352,-0.23054617,1999
ESP,-0.095360776,-0.210470373,1999
FRA,-0.531077496,-0.0999288,1999
HRV,2.22E-16,0,1999
ITA,-0.174919613,-0.033878326,1999
CYP,-0.510370375,-0.227278808,1999
LVA,2.22E-16,0,1999
LTU,2.22E-16,0,1999
LUX,-1,0,1999
HUN,2.22E-16,0,1999
MLT,2.22E-16,0,1999
NLD,-1,0,1999
AUT,-1,0,1999
POL,2.22E-16,0,1999
PRT,2.22E-16,0,1999
ROU,2.22E-16,0,1999
SVN,-0.611008239,-0.071228778,1999
SVK,2.22E-16,0,1999
FIN,-1,0,1999
SWE,2.22E-16,0,1999
BEL,-1,0,2000
BGR,2.22E-16,0,2000
CZE,-0.793014616,0.183606657,2000
DNK,-1,0,2000
DEU,-0.447584313,0.18195195,2000
EST,2.22E-16,0,2000
IRL,-1,0,2000
GRC,-0.425433352,-0.23054617,2000
ESP,-0.095360776,-0.210470373,2000
FRA,-0.531077496,-0.0999288,2000
HRV,2.22E-16,0,2000
ITA,-0.174919613,-0.033878326,2000
CYP,-0.510370375,-0.227278808,2000
LVA,2.22E-16,0,2000
LTU,2.22E-16,0,2000
LUX,-1,0,2000
HUN,2.22E-16,0,2000
MLT,2.22E-16,0,2000
NLD,-1,0,2000
AUT,-1,0,2000
POL,2.22E-16,0,2000
PRT,2.22E-16,0,2000
ROU,2.22E-16,0,2000
SVN,-0.611008239,-0.071228778,2000
SVK,2.22E-16,0,2000
FIN,-1,0,2000
SWE,2.22E-16,0,2000
